state,year,sex,abs,deaths_per_100k
Pahang,2014,male,5092,599.1998117
Perak,2014,female,7464,615.0296638
Perak,2014,male,9461,759.7976229
Perlis,2014,female,759,617.0731707
Perlis,2014,male,912,746.9287469
Pulau Pinang,2014,female,4206,505.0432277
Pulau Pinang,2014,male,5472,647.3441382
Sabah,2014,female,5013,286.7520879
Sabah,2014,male,7175,373.347903
Sarawak,2014,female,4988,390.6029757
Sarawak,2014,male,6698,482.9475809
Selangor,2014,female,9575,329.7516961
Selangor,2014,male,13072,415.3005464
Terengganu,2014,female,2862,512.9032258
Terengganu,2014,male,3598,617.7884615
W.P. Kuala Lumpur,2014,female,3139,367.8659323
W.P. Kuala Lumpur,2014,male,4508,509.8970705
W.P. Labuan,2014,female,109,234.9137931
W.P. Labuan,2014,male,165,348.1012658
W.P. Putrajaya,2014,female,94,217.0900693
W.P. Putrajaya,2014,male,100,265.9574468
Johor,2015,female,7808,459.1590709
Johor,2015,male,11045,578.3328097
Kedah,2015,female,5941,574.8983937
Kedah,2015,male,7733,727.4009971
Kelantan,2015,female,4702,538.60252
Kelantan,2015,male,6087,685.7818837
Melaka,2015,female,2181,494.4457039
Melaka,2015,male,2778,620.2277294
Negeri Sembilan,2015,female,2788,530.9464864
Negeri Sembilan,2015,male,3823,678.1976228
Pahang,2015,female,3427,457.1161798
Pahang,2015,male,5044,587.7417851
Perak,2015,female,7400,607.7529566
Perak,2015,male,9759,781.1574482
Perlis,2015,female,809,648.7570168
Perlis,2015,male,958,773.8287561
Pulau Pinang,2015,female,4443,527.1087911
Pulau Pinang,2015,male,5783,676.2160898
Sabah,2015,female,5146,289.393769
Sabah,2015,male,7365,379.1896206
Sarawak,2015,female,5298,409.3964918
Sarawak,2015,male,6902,490.4078443
Selangor,2015,female,10115,341.0891924
Selangor,2015,male,13689,426.1167315
Terengganu,2015,female,2865,503.1612223
Terengganu,2015,male,3850,650.7775524
W.P. Kuala Lumpur,2015,female,3213,370.4173392
W.P. Kuala Lumpur,2015,male,4395,481.3800657
W.P. Labuan,2015,female,103,219.1489362
W.P. Labuan,2015,male,143,297.2972973
W.P. Putrajaya,2015,female,98,220.2247191
W.P. Putrajaya,2015,male,95,246.7532468
Johor,2016,female,8250,479.4560353
Johor,2016,male,11674,604.5259179
Kedah,2016,female,6037,578.2013217
Kedah,2016,male,7734,719.0405355
Kelantan,2016,female,4698,527.8058645
Kelantan,2016,male,6111,673.9825742
Melaka,2016,female,2271,507.2593254
Melaka,2016,male,2915,642.9201588
Negeri Sembilan,2016,female,2846,536.7785741
Negeri Sembilan,2016,male,3964,696.538394
Pahang,2016,female,3531,464.9723466
Pahang,2016,male,5347,616.5110112
Perak,2016,female,7707,629.0401567
Perak,2016,male,10113,804.5346062
Perlis,2016,female,861,684.9642005
Perlis,2016,male,1023,816.4405427
Pulau Pinang,2016,female,4566,535.2872216
Pulau Pinang,2016,male,6163,712.8151746
Sabah,2016,female,5279,290.6618214
Sabah,2016,male,7555,380.2979966
Sarawak,2016,female,5390,411.1992676
Sarawak,2016,male,7218,505.4975839
Selangor,2016,female,10640,352.3295473
Selangor,2016,male,14948,456.9018217
Terengganu,2016,female,2898,499.6551724
Terengganu,2016,male,3945,653.7951608
W.P. Kuala Lumpur,2016,female,3344,383.7502869
W.P. Kuala Lumpur,2016,male,4733,515.4089078
W.P. Labuan,2016,female,108,225.4697286
W.P. Labuan,2016,male,169,345.603272
W.P. Putrajaya,2016,female,77,171.1111111
W.P. Putrajaya,2016,male,86,217.721519
Johor,2017,female,8586,492.1754084
Johor,2017,male,12076,618.4574414
Kedah,2017,female,6283,595.4321456
Kedah,2017,male,8049,739.3221273
Kelantan,2017,female,4919,543.0558622
Kelantan,2017,male,6284,680.6759099
Melaka,2017,female,2431,535.5805243
Melaka,2017,male,3092,673.3449477
Negeri Sembilan,2017,female,3011,560.6032396
Negeri Sembilan,2017,male,4100,710.8183079
Pahang,2017,female,3763,489.4004422
Pahang,2017,male,5498,626.0532908
Perak,2017,female,7627,619.9300983
Perak,2017,male,10420,825.0851215
Perlis,2017,female,904,715.7561362
Perlis,2017,male,1100,875.0994431
Pulau Pinang,2017,female,4743,547.0588235
Pulau Pinang,2017,male,5984,682.2483183
Sabah,2017,female,5790,314.3151838
Sabah,2017,male,7929,393.7332406
Sarawak,2017,female,5553,419.4108761
Sarawak,2017,male,7564,524.4401303
Selangor,2017,female,11316,369.2608908
Selangor,2017,male,15417,464.8995839
Terengganu,2017,female,3018,510.1419878
Terengganu,2017,male,4030,653.7962362
W.P. Kuala Lumpur,2017,female,3481,398.3749142
W.P. Kuala Lumpur,2017,male,4724,513.8133565
W.P. Labuan,2017,female,115,238.0952381
W.P. Labuan,2017,male,132,268.2926829
W.P. Putrajaya,2017,female,106,227.9569892
W.P. Putrajaya,2017,male,123,300
Johor,2018,female,8733,492.5549915
Johor,2018,male,12384,626.5938069
Kedah,2018,female,6336,594.8737208
Kedah,2018,male,8216,748.4059027
Kelantan,2018,female,4984,541.3860526
Kelantan,2018,male,6332,673.6886903
Melaka,2018,female,2328,507.3000654
Melaka,2018,male,3079,664.1501294
Negeri Sembilan,2018,female,3013,555.8015126
Negeri Sembilan,2018,male,4285,737.7754821
Pahang,2018,female,3721,478.277635
Pahang,2018,male,5525,623.0266125
Perak,2018,female,8018,648.3383197
Perak,2018,male,10582,835.3990684
Perlis,2018,female,904,710.6918239
Perlis,2018,male,1138,901.0292953
Pulau Pinang,2018,female,4938,563.5056488
Pulau Pinang,2018,male,6271,707.3886069
Sabah,2018,female,5770,309.7487653
Sabah,2018,male,8170,401.3558656
Sarawak,2018,female,5966,446.3898242
Sarawak,2018,male,7862,540.3065081
Selangor,2018,female,11558,371.6279219
Selangor,2018,male,15829,470.4011887
Terengganu,2018,female,3047,505.9780804
Terengganu,2018,male,4052,647.1809615
W.P. Kuala Lumpur,2018,female,3556,408.4070288
W.P. Kuala Lumpur,2018,male,4929,536.1105069
W.P. Labuan,2018,female,112,228.1059063
W.P. Labuan,2018,male,175,350.7014028
W.P. Putrajaya,2018,female,98,190.2912621
W.P. Putrajaya,2018,male,120,263.1578947
Johor,2019,female,9039,505.9330572
Johor,2019,male,12760,646.2068267
Kedah,2019,female,6271,584.8176816
Kedah,2019,male,8031,729.0966863
Kelantan,2019,female,4964,532.7895245
Kelantan,2019,male,6446,677.0297238
Melaka,2019,female,2459,531.6756757
Melaka,2019,male,3088,662.8031766
Negeri Sembilan,2019,female,3062,561.2170088
Negeri Sembilan,2019,male,4106,707.1994488
Pahang,2019,female,3787,482.6663268
Pahang,2019,male,5392,607.9603112
Perak,2019,female,8169,658.4717072
Perak,2019,male,10571,833.5436051
Perlis,2019,female,871,682.6018809
